"","workerid","feedback_seenBefore","feedback_anyProblems","feedback_problemDescription","feedback_comments","feedback_1"
"128","69c2f0033339865c279814ca",NA,NA,NA,NA,0
"129","69c6ec3a92185003cf70ded5",NA,NA,NA,NA,0
"130","69cc1fac2b52b1c4dd21cc7d",NA,NA,NA,NA,0
"131","69cec122e3cb56c2e7000c6b",NA,NA,NA,NA,0
"132","69d2a8765e19038ab2fc0f56",NA,NA,NA,NA,0
"133","69d5632f4815bcc4cb7242bf",NA,NA,NA,NA,0
"134","69d5c4d748bcaf8026c80573",NA,NA,NA,NA,0
"135","69daf476f6bc0d990581aca6",NA,NA,NA,NA,0
"136","69dbf4749918745fc7d8e820",NA,NA,NA,NA,0
"137","69dc76f0a77a620367d666ec",NA,NA,NA,NA,0
"138","69dfe696c433039b7add8013",NA,NA,NA,NA,0
"139","69e599577d00fb31c54fb004",NA,NA,NA,NA,0
"140","69e816058da70eddb5dbc3e1",NA,NA,NA,NA,0
"141","69e957ad6c65e153a1c65ae2",NA,NA,NA,NA,0
"142","69ed15278090fe4438301d5c",NA,NA,NA,NA,0
"143","69efe0b03221edd72686c185",NA,NA,NA,NA,0
"144","69f0438cc141b27ed949788e",NA,NA,NA,NA,0
"145","69f3d4f3fb7630947c56f1eb",NA,NA,NA,NA,0
"146","69f6484996726366cacd162c",NA,NA,NA,NA,0
"147","69f674db81cb46678aae6391",NA,NA,NA,NA,0
"148","69f7b962446b32b08d58a1df",NA,NA,NA,NA,0
"149","69f86a04fe802de5002bb70b",NA,NA,NA,NA,0
"150","69f8db35f08d6c337883fcb4",NA,NA,NA,NA,0
"151","69fb3314a5e95601464d1fea",NA,NA,NA,NA,0
"152","69fb86296fb6f0919bf31075",NA,NA,NA,NA,0
"153","69fcc8642de981c893eb6958",NA,NA,NA,NA,0
"154","69fce9e45d612732dd1ae4e2",NA,NA,NA,NA,0
"155","69fd3605435216c2d93bc72f",NA,NA,NA,NA,0
"156","6a00b0ca46e3f2822d0349b6",NA,NA,NA,NA,0
"157","6a00b4c7593a89490830c18c",NA,NA,NA,NA,0
"158","6a00dbcc626a780a8e5c07a4",NA,NA,NA,NA,0
"159","6a012d3c523e7311f4e55f61",NA,NA,NA,NA,0
"160","6a01e843af8198a220b44a18",NA,NA,NA,NA,0
"161","6a021dc98c730b8d3ce0deca",NA,NA,NA,NA,0
"162","6a023ad806e8158958e73b75",NA,NA,NA,NA,0
"163","6a04948f1e40214a25ff2563",NA,NA,NA,NA,0
"164","6a05131f0ad03d07dd77178e",NA,NA,NA,NA,0
"165","6a07687bad5809e8867bdffb",NA,NA,NA,NA,0
"166","6a0a0fd9f370053c3505dc0f",NA,NA,NA,NA,0
"167","6a0b7296246f70341f078e55",NA,NA,NA,NA,0
"168","6a0b756dd47d16a4c82f5589",NA,NA,NA,NA,0
"169","6a0dbb470d44c02c7ec444f0",NA,NA,NA,NA,0
"170","6a0dfefeb75ae8ac09c192c6",NA,NA,NA,NA,0
"171","6a0e0a9490e868c044e21936",NA,NA,NA,NA,0
"172","6a0e2d716e90edf1ea83dce1",NA,NA,NA,NA,0
"173","6a0f1056788a67850f057de4",NA,NA,NA,NA,0
"174","6a0fdfd2db4241c9e5eca29a",NA,NA,NA,NA,0
"175","6a14434573bcee3f17b7f762",NA,NA,NA,NA,0
"176","6a14c736578656591db6ea31",NA,NA,NA,NA,0
"177","6a14c84872f3851ab32e8c01",NA,NA,NA,NA,0
"178","6a14e67cf20909f60e34ae64",NA,NA,NA,NA,0
"179","6a14ed7d826b3c0b54334269",NA,NA,NA,NA,0
"180","6a150fcbc5238897c2c9408e",NA,NA,NA,NA,0
"181","6a1582166cefcdcbed565058",NA,NA,NA,NA,0
"182","6a15d5fb80117206e7200cf7",NA,NA,NA,NA,0
"183","6a15dfdb880253e5b6b917f3",NA,NA,NA,NA,0
"184","6a177f7ec67996448d9c7d41",NA,NA,NA,NA,0
"185","6a18b37c0157d881234ed29f",NA,NA,NA,NA,0
"186","6a199661a2f63c5bf9835b2e",NA,NA,NA,NA,0
"187","6a1a3e6d47ea4b557072cc4d",NA,NA,NA,NA,0
"188","6a1ae40320c9511f890515f7",NA,NA,NA,NA,0
"189","6a1b544246f12219f033d3c3",NA,NA,NA,NA,0
"190","6a1cb95bf369926ac77ea9e5",NA,NA,NA,NA,0
"191","6a1de36b3f5c6160ff6bf6a4",NA,NA,NA,NA,0
"192","6a1f0ef7a64d44c972d3a5f7",NA,NA,NA,NA,0
"193","6a1f832105dd8c89b5e930ad",NA,NA,NA,NA,0
"194","6a2222ff6e1036656b0d5d08",NA,NA,NA,NA,0
"195","6a232745f21e165e2b54ed58",NA,NA,NA,NA,0
"196","6a2482e9af72b55296872b0d",NA,NA,NA,NA,0
"197","6a2589e7b0645f2f7f1cc52c",NA,NA,NA,NA,0
"198","6a3607f677860830aca5bdeb",NA,NA,NA,NA,0
"199","62c5f85ccf34c8d9c0650f6e",NA,NA,NA,NA,0
"200","65465c5bc5a014ec683d55cf",NA,NA,NA,NA,0
"201","661c09a749790db73f8faba5",NA,NA,NA,NA,0
"202","66315563a848526fcfa7555b",NA,NA,NA,NA,0
"203","665795d82a087799023aaf0e",NA,NA,NA,NA,0
"204","66da162f5538535e93490441",NA,NA,NA,NA,0
"205","676956116c1a3416bf7b2afe",NA,NA,NA,NA,0
"206","695ea002344d7ca1605c747a",NA,NA,NA,NA,0
"207","6965bd850ce22095dd7a84ca",NA,NA,NA,NA,0
"208","6978d830c5d415696508430d",NA,NA,NA,NA,0
"209","697a495862ac67423e8418b8",NA,NA,NA,NA,0
"210","6980dfb784202dcf9736910f",NA,NA,NA,NA,0
"211","69864a705614c15728117b35",NA,NA,NA,NA,0
"212","6987875a0a8fa6ed9ef00726",NA,NA,NA,NA,0
"213","699b610e2ba4bade6f39121b",NA,NA,NA,NA,0
"214","699cebf39bc275a312ffd51c",NA,NA,NA,NA,0
"215","699d45af20adaa6e1e89aa5a",NA,NA,NA,NA,0
"216","699e3cc79b0d3d96b469ca49",NA,NA,NA,NA,0
"217","69a0734d1d433d3694c8438f",NA,NA,NA,NA,0
"218","69a6eb2bc679065ed1cecc51",NA,NA,NA,NA,0
"219","69a8cff018bead25e4a5d848",NA,NA,NA,NA,0
"220","69b19e44edf4d70aee145c16",NA,NA,NA,NA,0
"221","69b3193cce0978ad6db9fe7c",NA,NA,NA,NA,0
"222","69b5c6bdbcf55371066f5e73",NA,NA,NA,NA,0
"223","69ba37faee13f176e7635323",NA,NA,NA,NA,0
"224","69bdf2afe629d42bfc47997f",NA,NA,NA,NA,0
"225","69c093d33989aa791c4e8b2d",NA,NA,NA,NA,0
"226","69c1256faa88d6296c98d745",NA,NA,NA,NA,0
"227","69c2f0033339865c279814ca",NA,NA,NA,NA,0
"228","69c6ec3a92185003cf70ded5",NA,NA,NA,NA,0
"229","69cc1fac2b52b1c4dd21cc7d",NA,NA,NA,NA,0
"230","69cec122e3cb56c2e7000c6b",NA,NA,NA,NA,0
"231","69d2a8765e19038ab2fc0f56",NA,NA,NA,NA,0
"232","69d5632f4815bcc4cb7242bf",NA,NA,NA,NA,0
"233","69d5c4d748bcaf8026c80573",NA,NA,NA,NA,0
"234","69daf476f6bc0d990581aca6",NA,NA,NA,NA,0
"235","69dbf4749918745fc7d8e820",NA,NA,NA,NA,0
"236","69dc76f0a77a620367d666ec",NA,NA,NA,NA,0
"237","69dfe696c433039b7add8013",NA,NA,NA,NA,0
"238","69e599577d00fb31c54fb004",NA,NA,NA,NA,0
"239","69e816058da70eddb5dbc3e1",NA,NA,NA,NA,0
"240","69e957ad6c65e153a1c65ae2",NA,NA,NA,NA,0
"241","69ed15278090fe4438301d5c",NA,NA,NA,NA,0
"242","69efe0b03221edd72686c185",NA,NA,NA,NA,0
"243","69f0438cc141b27ed949788e",NA,NA,NA,NA,0
"244","69f3d4f3fb7630947c56f1eb",NA,NA,NA,NA,0
"245","69f6484996726366cacd162c",NA,NA,NA,NA,0
"246","69f674db81cb46678aae6391",NA,NA,NA,NA,0
"247","69f7b962446b32b08d58a1df",NA,NA,NA,NA,0
"248","69f86a04fe802de5002bb70b",NA,NA,NA,NA,0
"249","69f8db35f08d6c337883fcb4",NA,NA,NA,NA,0
"250","69fb3314a5e95601464d1fea",NA,NA,NA,NA,0
"251","69fb86296fb6f0919bf31075",NA,NA,NA,NA,0
"252","69fcc8642de981c893eb6958",NA,NA,NA,NA,0
"253","69fce9e45d612732dd1ae4e2",NA,NA,NA,NA,0
"254","69fd3605435216c2d93bc72f",NA,NA,NA,NA,0
"255","6a00b0ca46e3f2822d0349b6",NA,NA,NA,NA,0
"256","6a00b4c7593a89490830c18c",NA,NA,NA,NA,0
"257","6a00dbcc626a780a8e5c07a4",NA,NA,NA,NA,0
"258","6a012d3c523e7311f4e55f61",NA,NA,NA,NA,0
"259","6a01e843af8198a220b44a18",NA,NA,NA,NA,0
"260","6a021dc98c730b8d3ce0deca",NA,NA,NA,NA,0
"261","6a023ad806e8158958e73b75",NA,NA,NA,NA,0
"262","6a04948f1e40214a25ff2563",NA,NA,NA,NA,0
"263","6a05131f0ad03d07dd77178e",NA,NA,NA,NA,0
"264","6a07687bad5809e8867bdffb",NA,NA,NA,NA,0
"265","6a0a0fd9f370053c3505dc0f",NA,NA,NA,NA,0
"266","6a0b7296246f70341f078e55",NA,NA,NA,NA,0
"267","6a0b756dd47d16a4c82f5589",NA,NA,NA,NA,0
"268","6a0dbb470d44c02c7ec444f0",NA,NA,NA,NA,0
"269","6a0dfefeb75ae8ac09c192c6",NA,NA,NA,NA,0
"270","6a0e0a9490e868c044e21936",NA,NA,NA,NA,0
"271","6a0e2d716e90edf1ea83dce1",NA,NA,NA,NA,0
"272","6a0f1056788a67850f057de4",NA,NA,NA,NA,0
"273","6a0fdfd2db4241c9e5eca29a",NA,NA,NA,NA,0
"274","6a14434573bcee3f17b7f762",NA,NA,NA,NA,0
